Title,Rating,Year,Genre,Director
Shôshanku no sora ni,9.2,1994,,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
Goddofâzâ,9.2,1972,,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
Dâku naito,9.0,2008,,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
The Godfather Part II,9.0,1974,,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
12 Angry Men,9.0,1957,,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
Schindler's List,8.9,1993,,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
Rôdo obu za ringu - Ô no kikan,8.9,2003,,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
Pulp Fiction,8.8,1994,,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
Rôdo obu za ringu,8.8,2001,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
Zoku yuuhi no ganman,8.8,1966,,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
Forrest Gump,8.8,1994,,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
Fight Club,8.7,1999,,"David Fincher (dir.), Brad Pitt, Edward Norton"
ロード・オブ・ザ・リング 二つの塔,8.7,2002,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
Inception,8.7,2010,,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
Matorikkusu,8.7,1999,,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
Guddoferozu,8.7,1990,,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
Kakkou no su no ue de,8.6,1975,,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
Sebun,8.6,1995,,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
"Subarashiki kana, jinsei!",8.6,1946,,"Frank Capra (dir.), James Stewart, Donna Reed"
Shichinin no samurai,8.6,1954,,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
Hitsujitachi no Chinmoku,8.6,1991,,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
Puraibeto Raian,8.6,1998,,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
Cidade de Deus,8.6,2002,,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
Interstellar,8.6,2014,,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
La vita è bella,8.6,1997,,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
Gurîn Mairu,8.6,1999,,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
Star Wars,8.5,1977,,"George Lucas (dir.), Mark Hamill, Harrison Ford"
Terminator 2: Judgment Day,8.5,1991,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
Back to the Future,8.5,1985,,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
Sen to Chihiro no kamikakushi,8.5,2001,,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
Senjô no pianisuto,8.5,2002,,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
Psycho,8.5,1960,,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
Parasaito: Hanchika no kazoku,8.5,2019,,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
Léon,8.5,1994,,"Luc Besson (dir.), Jean Reno, Gary Oldman"
グラディエーター,8.5,2000,,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
The Lion King,8.5,1994,,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
Amerikan Hisutori X,8.5,1998,,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
Dipâteddo,8.5,2006,,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
Sesshon,8.5,2014,,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
プレステージ,8.5,2006,,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
The Usual Suspects,8.5,1995,,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
Kasaburanka,8.5,1942,,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
Hotaru no haka,8.5,1988,,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
Seppuku,8.5,1962,,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
Saikyô no futari,8.5,2011,,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
Modan Taimusu,8.4,1936,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
ウエスタン,8.4,1968,,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
Nyû shinema paradaisu,8.4,1988,,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
Uramado,8.4,1954,,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
Alien,8.4,1979,,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
Machi no hi,8.4,1931,,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
Jigoku no mokushiroku,8.4,1979,,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
Memento,8.4,2000,,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
Django Tsunagarezaru Mono,8.4,2012,,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
Reidâsu/Ushinawareta âku,8.4,1981,,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
Wôrî,8.4,2008,,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
Yoki hito no tame no sonata,8.4,2006,,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
Sansetto ôdôri,8.4,1950,,"Billy Wilder (dir.), William Holden, Gloria Swanson"
Totsugeki,8.4,1957,,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
Shining,8.4,1980,,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
Dokusaisha,8.4,1940,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
Avengers: Infinity War,8.4,2018,,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
Witness for the Prosecution,8.4,1957,,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
Eirian 2,8.3,1986,,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
Spider-Man: Into the Spider-Verse,8.3,2018,,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
American Beauty,8.3,1999,,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
Hakase no ijô na aijô: Matawa watashi wa ikani shite shinpai suru no wo yamete suibaku wo aisuru you ni natta ka,8.3,1964,,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
Dâku naito raijingu,8.3,2012,,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
Inglourious Basterds,8.3,2009,,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
Oldeuboi,8.3,2003,,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
Amadeus,8.3,1984,,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
Coco,8.3,2017,,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
Toy Story,8.3,1995,,"John Lasseter (dir.), Tom Hanks, Tim Allen"
Braveheart,8.3,1995,,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
